datetime,open,high,low,close,volume
2021.06.01 00:00:00,1.22325,1.22345,1.22324,1.22335,54.15
2021.06.01 00:01:00,1.22336,1.22343,1.22326,1.22328,41.92
2021.06.01 00:02:00,1.22326,1.22326,1.22296,1.223,46.64
2021.06.01 00:03:00,1.223,1.22301,1.22288,1.22301,40.75
2021.06.01 00:04:00,1.223,1.223,1.22289,1.22289,32.55
2021.06.01 00:05:00,1.22289,1.2229,1.22277,1.22289,38.37
2021.06.01 00:06:00,1.22288,1.22297,1.22287,1.22292,32.7
2021.06.01 00:07:00,1.22295,1.22295,1.22278,1.22278,16.88
2021.06.01 00:08:00,1.22278,1.2229,1.22277,1.22288,23.48
2021.06.01 00:09:00,1.22289,1.22289,1.22277,1.22279,58.44
2021.06.01 00:10:00,1.22276,1.22278,1.22271,1.22276,27.72
2021.06.01 00:11:00,1.22276,1.22276,1.22254,1.22254,42.64
2021.06.01 00:12:00,1.22256,1.22256,1.22253,1.22254,14.1
2021.06.01 00:13:00,1.22255,1.22265,1.22254,1.22254,55.86
2021.06.01 00:14:00,1.22255,1.2226,1.22255,1.22259,30.75
2021.06.01 00:15:00,1.22259,1.2227,1.22259,1.2227,16.52
2021.06.01 00:16:00,1.22268,1.2227,1.22263,1.22269,27.12
2021.06.01 00:17:00,1.22268,1.22269,1.22265,1.22265,15.46
2021.06.01 00:18:00,1.22266,1.22275,1.22265,1.22274,17.89
2021.06.01 00:19:00,1.22273,1.22273,1.2227,1.2227,9.99
2021.06.01 00:20:00,1.22269,1.22269,1.22264,1.22265,12.1
2021.06.01 00:21:00,1.22265,1.22265,1.22254,1.22255,29.47
2021.06.01 00:22:00,1.22256,1.2226,1.22256,1.22258,9.13
2021.06.01 00:23:00,1.22259,1.22264,1.22258,1.22261,14.76
2021.06.01 00:24:00,1.2226,1.22261,1.22241,1.22241,28.31
2021.06.01 00:25:00,1.22242,1.22246,1.22242,1.22245,9.26
2021.06.01 00:26:00,1.22243,1.22243,1.22237,1.2224,19.83
2021.06.01 00:27:00,1.22241,1.22257,1.22241,1.22256,19.04
2021.06.01 00:28:00,1.22258,1.2226,1.22257,1.2226,8.7
2021.06.01 00:29:00,1.22261,1.22267,1.22261,1.22266,9.94
2021.06.01 00:30:00,1.22265,1.22273,1.22263,1.22273,20.25
2021.06.01 00:31:00,1.22273,1.22281,1.22272,1.22275,15.19
2021.06.01 00:32:00,1.22275,1.22275,1.2227,1.22275,25.53
2021.06.01 00:33:00,1.22276,1.22283,1.22275,1.22275,28.13
2021.06.01 00:34:00,1.22274,1.22277,1.22271,1.22275,14.82
2021.06.01 00:35:00,1.22275,1.22281,1.22275,1.22279,16.63
2021.06.01 00:36:00,1.22278,1.22283,1.22277,1.22283,18.16
2021.06.01 00:37:00,1.22282,1.22286,1.22282,1.22285,9.52
2021.06.01 00:38:00,1.22286,1.22286,1.22284,1.22286,10.76
2021.06.01 00:39:00,1.22288,1.22292,1.22285,1.22286,40.71
2021.06.01 00:40:00,1.22287,1.22287,1.22285,1.22287,6.52
2021.06.01 00:41:00,1.22287,1.22292,1.22287,1.2229,19.76
2021.06.01 00:42:00,1.22289,1.2229,1.22285,1.22285,11.62
2021.06.01 00:43:00,1.22283,1.22283,1.22276,1.22276,42.1
2021.06.01 00:44:00,1.22275,1.22277,1.22263,1.22276,30.74
2021.06.01 00:45:00,1.22277,1.22285,1.22277,1.22281,21.68
2021.06.01 00:46:00,1.2228,1.2228,1.22275,1.22276,11.25
2021.06.01 00:47:00,1.22276,1.22282,1.22274,1.22278,16.19
2021.06.01 00:48:00,1.22279,1.22282,1.22276,1.22278,21.07
2021.06.01 00:49:00,1.2228,1.22281,1.22279,1.2228,24.45
2021.06.01 00:50:00,1.22281,1.22291,1.22278,1.22291,44.31
2021.06.01 00:51:00,1.2229,1.22296,1.22287,1.22296,36.35
2021.06.01 00:52:00,1.22298,1.22298,1.22287,1.22287,28.12
2021.06.01 00:53:00,1.22286,1.22297,1.22285,1.22296,49.57
2021.06.01 00:54:00,1.22296,1.22302,1.22285,1.22285,52.76
2021.06.01 00:55:00,1.22284,1.22293,1.22283,1.22293,30.15
2021.06.01 00:56:00,1.22295,1.22296,1.22293,1.22295,55.33
2021.06.01 00:57:00,1.22296,1.22296,1.2229,1.22295,57.98
2021.06.01 00:58:00,1.22295,1.22306,1.22295,1.22305,29.82
2021.06.01 00:59:00,1.22304,1.22306,1.22291,1.22295,36.39
2021.06.01 01:00:00,1.22296,1.22305,1.22292,1.22297,80.75
2021.06.01 01:01:00,1.22298,1.2231,1.22287,1.22294,81.53
2021.06.01 01:02:00,1.22294,1.22299,1.22294,1.22294,58.66
2021.06.01 01:03:00,1.22294,1.22294,1.22284,1.22287,43.18
2021.06.01 01:04:00,1.22288,1.22289,1.22285,1.22288,21.3
2021.06.01 01:05:00,1.2229,1.2229,1.2229,1.2229,0.75
2021.06.01 01:06:00,1.22291,1.22302,1.22291,1.22302,12.38
2021.06.01 01:07:00,1.22304,1.22308,1.22299,1.22305,29.95
2021.06.01 01:08:00,1.22304,1.22305,1.22299,1.22303,20.04
2021.06.01 01:09:00,1.22302,1.22303,1.22299,1.223,18.27
2021.06.01 01:10:00,1.223,1.22303,1.22291,1.22291,35.69
2021.06.01 01:11:00,1.22292,1.22305,1.22291,1.22305,43.64
2021.06.01 01:12:00,1.22305,1.2232,1.223,1.2231,92.4
2021.06.01 01:13:00,1.2231,1.22316,1.22309,1.22313,45.7
2021.06.01 01:14:00,1.22313,1.2233,1.22311,1.22322,79.27
2021.06.01 01:15:00,1.22323,1.22329,1.22318,1.22326,102.22
2021.06.01 01:16:00,1.22326,1.22337,1.2232,1.22336,51.52
2021.06.01 01:17:00,1.22338,1.22347,1.22338,1.22343,64.42
2021.06.01 01:18:00,1.22341,1.22352,1.22341,1.22344,59.36
2021.06.01 01:19:00,1.22346,1.22362,1.22346,1.22348,39.27
2021.06.01 01:20:00,1.22349,1.22364,1.22348,1.22353,87.79
2021.06.01 01:21:00,1.22352,1.22352,1.22334,1.22335,37.29
2021.06.01 01:22:00,1.22334,1.22342,1.22334,1.22335,34.74
2021.06.01 01:23:00,1.22334,1.22338,1.22328,1.22328,45.95
2021.06.01 01:24:00,1.22329,1.22337,1.22324,1.22337,24.07
2021.06.01 01:25:00,1.22337,1.22337,1.22327,1.22329,39.32
2021.06.01 01:26:00,1.2233,1.22332,1.22329,1.2233,10.88
2021.06.01 01:27:00,1.2233,1.22349,1.22328,1.22349,43.81
2021.06.01 01:28:00,1.22348,1.22349,1.22333,1.22334,62.47
2021.06.01 01:29:00,1.22335,1.22335,1.22322,1.22323,36.02
2021.06.01 01:30:00,1.22322,1.22324,1.22314,1.22314,81.85
2021.06.01 01:31:00,1.22314,1.22318,1.2231,1.22314,74.29
2021.06.01 01:32:00,1.22314,1.22331,1.22313,1.22327,63.92
2021.06.01 01:33:00,1.22326,1.2233,1.22315,1.22329,75.36
2021.06.01 01:34:00,1.22327,1.22334,1.22324,1.22332,44.63
2021.06.01 01:35:00,1.22331,1.22331,1.22317,1.2232,77.13
2021.06.01 01:36:00,1.2232,1.22333,1.22319,1.22331,73.85
2021.06.01 01:37:00,1.22331,1.22335,1.22318,1.22331,80.64
2021.06.01 01:38:00,1.22332,1.22336,1.22322,1.22327,54.75
2021.06.01 01:39:00,1.22326,1.22332,1.22319,1.22319,75.83
2021.06.01 01:40:00,1.2232,1.22335,1.2232,1.22331,42.35
2021.06.01 01:41:00,1.22332,1.22336,1.22332,1.22333,17.83
2021.06.01 01:42:00,1.22332,1.22332,1.22319,1.22321,56.7
2021.06.01 01:43:00,1.22319,1.22321,1.22311,1.22311,36.94
2021.06.01 01:44:00,1.22312,1.22315,1.22312,1.22314,21.9
2021.06.01 01:45:00,1.22314,1.22322,1.22314,1.22321,23.91
2021.06.01 01:46:00,1.22321,1.22321,1.2232,1.22321,3
2021.06.01 01:47:00,1.2232,1.22321,1.22318,1.2232,13.64
2021.06.01 01:48:00,1.2232,1.22321,1.2232,1.2232,11.46
2021.06.01 01:49:00,1.22321,1.22326,1.22321,1.22326,6
2021.06.01 01:50:00,1.22328,1.22343,1.22328,1.22341,32.21
2021.06.01 01:51:00,1.22339,1.22343,1.22333,1.22333,47.52
2021.06.01 01:52:00,1.22333,1.22335,1.22329,1.22332,30.38
2021.06.01 01:53:00,1.22332,1.22332,1.22324,1.22324,55.83
2021.06.01 01:54:00,1.22325,1.22329,1.22323,1.22324,47.8
2021.06.01 01:55:00,1.22325,1.2233,1.22316,1.22316,64.44
2021.06.01 01:56:00,1.22315,1.22319,1.22314,1.22319,25.77
2021.06.01 01:57:00,1.22318,1.22326,1.22314,1.22314,41.63
2021.06.01 01:58:00,1.22314,1.22319,1.22314,1.22318,26.57
2021.06.01 01:59:00,1.22317,1.22319,1.22304,1.22319,139.31
2021.06.01 02:00:00,1.22317,1.22321,1.22313,1.22315,121.05
2021.06.01 02:01:00,1.22316,1.22316,1.22304,1.22304,28.35
2021.06.01 02:02:00,1.22301,1.22308,1.223,1.22307,17.02
2021.06.01 02:03:00,1.22308,1.22309,1.22305,1.22309,19.82
2021.06.01 02:04:00,1.22311,1.22314,1.22308,1.22309,24.06
2021.06.01 02:05:00,1.22315,1.22325,1.22315,1.22324,17.89
2021.06.01 02:06:00,1.22325,1.22336,1.22325,1.22336,20.51
2021.06.01 02:07:00,1.22339,1.22347,1.22339,1.22346,22.72
2021.06.01 02:08:00,1.22345,1.22357,1.22344,1.22355,19.57
2021.06.01 02:09:00,1.22353,1.22353,1.22341,1.22341,61.11
2021.06.01 02:10:00,1.22342,1.22346,1.22341,1.22346,28.5
2021.06.01 02:11:00,1.22346,1.22346,1.2234,1.22341,13.08
2021.06.01 02:12:00,1.2234,1.2234,1.2233,1.2233,29.43
2021.06.01 02:13:00,1.22333,1.2234,1.22332,1.22336,95.49
2021.06.01 02:14:00,1.22336,1.22338,1.22327,1.22329,54.7
2021.06.01 02:15:00,1.22328,1.2233,1.2232,1.22322,40.29
2021.06.01 02:16:00,1.22321,1.22323,1.22312,1.22313,24.3
2021.06.01 02:17:00,1.22314,1.22314,1.22312,1.22313,3.92
2021.06.01 02:18:00,1.22312,1.22312,1.22306,1.22306,22.05
2021.06.01 02:19:00,1.22305,1.2231,1.22303,1.2231,10.5
2021.06.01 02:20:00,1.22308,1.22309,1.22303,1.22303,7.5
2021.06.01 02:21:00,1.22306,1.2231,1.22304,1.22309,22.13
2021.06.01 02:22:00,1.22309,1.22315,1.22308,1.22311,21.74
2021.06.01 02:23:00,1.22312,1.22312,1.22309,1.22309,3.75
2021.06.01 02:24:00,1.2231,1.22315,1.2231,1.22311,6.89
2021.06.01 02:25:00,1.22312,1.22316,1.22312,1.22315,12.07
2021.06.01 02:26:00,1.22316,1.2232,1.22316,1.2232,13.85
2021.06.01 02:27:00,1.22321,1.22321,1.22321,1.22321,3
2021.06.01 02:28:00,1.22321,1.22321,1.22315,1.22315,7.76
2021.06.01 02:29:00,1.22315,1.22315,1.22315,1.22315,0
2021.06.01 02:30:00,1.22313,1.22315,1.2231,1.2231,12.31
2021.06.01 02:31:00,1.22307,1.22307,1.22305,1.22305,3.33
2021.06.01 02:32:00,1.22305,1.22311,1.22302,1.2231,33.06
2021.06.01 02:33:00,1.2231,1.22312,1.22304,1.22304,17.72
2021.06.01 02:34:00,1.22304,1.22307,1.22301,1.22304,28.53
2021.06.01 02:35:00,1.22305,1.22306,1.22301,1.22302,29.6
2021.06.01 02:36:00,1.22301,1.22302,1.22295,1.22299,23.36
2021.06.01 02:37:00,1.22298,1.22299,1.22294,1.22295,8.25
2021.06.01 02:38:00,1.22296,1.22296,1.22295,1.22295,2.25
2021.06.01 02:39:00,1.22295,1.22295,1.22291,1.22293,5.42
2021.06.01 02:40:00,1.22294,1.22294,1.22291,1.22292,17.25
2021.06.01 02:41:00,1.22291,1.22292,1.22288,1.22288,8.32
2021.06.01 02:42:00,1.22288,1.22289,1.22287,1.22287,6.75
2021.06.01 02:43:00,1.22286,1.22287,1.22286,1.22287,5.61
2021.06.01 02:44:00,1.22286,1.22286,1.22283,1.22284,6.37
2021.06.01 02:45:00,1.22284,1.22298,1.22284,1.22298,21.33
2021.06.01 02:46:00,1.22298,1.22299,1.22298,1.22299,2.25
2021.06.01 02:47:00,1.223,1.223,1.223,1.223,1.5
2021.06.01 02:48:00,1.22301,1.22301,1.22293,1.223,27.14
2021.06.01 02:49:00,1.22299,1.22314,1.22299,1.2231,26.42
2021.06.01 02:50:00,1.22311,1.22314,1.2231,1.2231,7.5
2021.06.01 02:51:00,1.2231,1.22315,1.22308,1.22314,21.67
2021.06.01 02:52:00,1.22314,1.22319,1.22314,1.22319,5.25
2021.06.01 02:53:00,1.2232,1.22321,1.22318,1.22319,4.5
2021.06.01 02:54:00,1.22318,1.22318,1.22309,1.2231,18.51
2021.06.01 02:55:00,1.22306,1.22308,1.22303,1.22305,20.21
2021.06.01 02:56:00,1.22305,1.22305,1.22295,1.22295,27.24
2021.06.01 02:57:00,1.22294,1.22294,1.22273,1.22273,37.12
2021.06.01 02:58:00,1.22272,1.22273,1.22263,1.22269,26.76
2021.06.01 02:59:00,1.22269,1.22283,1.22269,1.2228,43.84
2021.06.01 03:00:00,1.22279,1.22284,1.22279,1.22282,26.93
2021.06.01 03:01:00,1.22282,1.22289,1.22282,1.22284,12.68
2021.06.01 03:02:00,1.22285,1.22288,1.22276,1.22279,10.78
2021.06.01 03:03:00,1.22278,1.22279,1.22274,1.22275,8.04
2021.06.01 03:04:00,1.22277,1.22282,1.22269,1.22269,36.64
2021.06.01 03:05:00,1.2227,1.2227,1.22269,1.22269,3.51
2021.06.01 03:06:00,1.22269,1.22275,1.22269,1.22269,28.24
2021.06.01 03:07:00,1.22271,1.22273,1.22266,1.22267,21.85
2021.06.01 03:08:00,1.22269,1.2227,1.22259,1.22269,33.14
2021.06.01 03:09:00,1.22269,1.22278,1.22269,1.22278,13.57
2021.06.01 03:10:00,1.22279,1.22286,1.22279,1.22284,39.89
2021.06.01 03:11:00,1.22282,1.22287,1.22279,1.22287,33.75
2021.06.01 03:12:00,1.22284,1.22297,1.22284,1.22296,117.09
2021.06.01 03:13:00,1.22297,1.223,1.22295,1.22296,11.33
2021.06.01 03:14:00,1.22294,1.22298,1.22291,1.22295,36.24
2021.06.01 03:15:00,1.22296,1.223,1.22295,1.223,16.57
2021.06.01 03:16:00,1.223,1.22301,1.22299,1.223,9.75
2021.06.01 03:17:00,1.22301,1.22306,1.22301,1.22305,9.75
2021.06.01 03:18:00,1.22302,1.22302,1.22299,1.22299,16.46
2021.06.01 03:19:00,1.22299,1.22303,1.22298,1.223,14
2021.06.01 03:20:00,1.223,1.22305,1.223,1.22305,6.55
2021.06.01 03:21:00,1.22306,1.22319,1.22306,1.22315,15.4
2021.06.01 03:22:00,1.22314,1.22315,1.22304,1.22305,20.12
2021.06.01 03:23:00,1.22304,1.2231,1.22302,1.22308,9.81
2021.06.01 03:24:00,1.22309,1.22314,1.22309,1.22314,8.53
2021.06.01 03:25:00,1.22314,1.22318,1.2231,1.22314,61.96
2021.06.01 03:26:00,1.22313,1.22313,1.22309,1.2231,15.37
2021.06.01 03:27:00,1.22311,1.22315,1.2231,1.22314,21.01
2021.06.01 03:28:00,1.22314,1.22316,1.22314,1.22314,11.63
2021.06.01 03:29:00,1.22314,1.22314,1.22312,1.22314,13.78
2021.06.01 03:30:00,1.22314,1.22316,1.2231,1.2231,20.64
2021.06.01 03:31:00,1.2231,1.22316,1.2231,1.22316,22.41
2021.06.01 03:32:00,1.22315,1.22315,1.22313,1.22315,7.6
2021.06.01 03:33:00,1.22314,1.22314,1.2231,1.22313,18.41
2021.06.01 03:34:00,1.22314,1.22319,1.22314,1.22319,14.35
2021.06.01 03:35:00,1.2232,1.2232,1.22319,1.2232,5.59
2021.06.01 03:36:00,1.22318,1.22318,1.22314,1.22314,10.46
2021.06.01 03:37:00,1.22314,1.22314,1.22311,1.22314,7.47
2021.06.01 03:38:00,1.22314,1.22314,1.22314,1.22314,4.76
2021.06.01 03:39:00,1.22314,1.22314,1.22307,1.22307,12.31
2021.06.01 03:40:00,1.22308,1.2231,1.22306,1.2231,13.11
2021.06.01 03:41:00,1.2231,1.22316,1.22307,1.22316,7.76
2021.06.01 03:42:00,1.22316,1.22316,1.22316,1.22316,0
2021.06.01 03:43:00,1.22314,1.22314,1.2231,1.2231,16.13
2021.06.01 03:44:00,1.22309,1.22309,1.22309,1.22309,0.94
2021.06.01 03:45:00,1.22308,1.22309,1.22294,1.22295,53.62
2021.06.01 03:46:00,1.22294,1.22299,1.22294,1.22299,4.53
2021.06.01 03:47:00,1.22301,1.22301,1.223,1.223,1.5
2021.06.01 03:48:00,1.223,1.22305,1.223,1.22305,8.58
2021.06.01 03:49:00,1.22306,1.22308,1.22303,1.22304,14.41
2021.06.01 03:50:00,1.22301,1.22304,1.22301,1.22301,34.84
2021.06.01 03:51:00,1.223,1.22301,1.22293,1.22298,25.73
2021.06.01 03:52:00,1.22299,1.223,1.22294,1.223,12.86
2021.06.01 03:53:00,1.223,1.223,1.22294,1.22294,14.44
2021.06.01 03:54:00,1.22294,1.22295,1.22288,1.22288,11.44
2021.06.01 03:55:00,1.22289,1.22289,1.22285,1.22286,7.79
2021.06.01 03:56:00,1.22286,1.22294,1.22283,1.22293,15.74
2021.06.01 03:57:00,1.22292,1.22296,1.22289,1.22295,15.21
2021.06.01 03:58:00,1.22293,1.22294,1.22289,1.22294,15.57
2021.06.01 03:59:00,1.22296,1.22302,1.22295,1.22301,24.96
2021.06.01 04:00:00,1.223,1.223,1.22288,1.22295,32.08
2021.06.01 04:01:00,1.22295,1.22295,1.22295,1.22295,2.25
2021.06.01 04:02:00,1.22296,1.22296,1.22295,1.22295,3
2021.06.01 04:03:00,1.22294,1.22294,1.22288,1.22288,12.17
2021.06.01 04:04:00,1.22288,1.22288,1.22282,1.22283,21.58
2021.06.01 04:05:00,1.22285,1.22289,1.22283,1.22288,28.25
2021.06.01 04:06:00,1.22288,1.22288,1.22277,1.22277,42.29
2021.06.01 04:07:00,1.22278,1.22279,1.22277,1.22279,5.47
2021.06.01 04:08:00,1.22279,1.22279,1.22279,1.22279,0
2021.06.01 04:09:00,1.22277,1.22286,1.22277,1.22283,13.85
2021.06.01 04:10:00,1.22286,1.22287,1.22283,1.22285,17.74
2021.06.01 04:11:00,1.22286,1.22286,1.22284,1.22284,4.5
2021.06.01 04:12:00,1.22283,1.22285,1.22282,1.22282,15.28
2021.06.01 04:13:00,1.22283,1.22285,1.22283,1.22283,3.75
2021.06.01 04:14:00,1.2228,1.22283,1.22278,1.22283,13
2021.06.01 04:15:00,1.22282,1.22282,1.22278,1.22278,7.52
2021.06.01 04:16:00,1.22276,1.22278,1.22276,1.22276,5.14
2021.06.01 04:17:00,1.22277,1.22278,1.22272,1.22273,11.14
2021.06.01 04:18:00,1.22272,1.22276,1.22272,1.22273,29.74
2021.06.01 04:19:00,1.22273,1.22279,1.22273,1.22279,10.13
2021.06.01 04:20:00,1.22279,1.2228,1.22279,1.2228,1.5
2021.06.01 04:21:00,1.22279,1.22279,1.22274,1.22274,10.69
2021.06.01 04:22:00,1.22274,1.22274,1.22269,1.22269,8.55
2021.06.01 04:23:00,1.22272,1.22273,1.22269,1.22269,9.38
2021.06.01 04:24:00,1.22268,1.22268,1.22268,1.22268,3.19
2021.06.01 04:25:00,1.22269,1.22269,1.22268,1.22268,1.5
2021.06.01 04:26:00,1.22268,1.22268,1.22268,1.22268,0
2021.06.01 04:27:00,1.22269,1.2227,1.22267,1.22268,6.25
2021.06.01 04:28:00,1.22268,1.22268,1.22263,1.22263,13.77
2021.06.01 04:29:00,1.22263,1.22263,1.22258,1.22258,25.45
2021.06.01 04:30:00,1.22262,1.22266,1.22253,1.22253,41.57
2021.06.01 04:31:00,1.22254,1.22254,1.22238,1.22241,101.73
2021.06.01 04:32:00,1.22241,1.22257,1.22232,1.22251,118.86
2021.06.01 04:33:00,1.22253,1.22263,1.22252,1.22254,57.46
2021.06.01 04:34:00,1.22253,1.22265,1.22253,1.22261,44.67
2021.06.01 04:35:00,1.22262,1.22269,1.22262,1.22269,32.68
2021.06.01 04:36:00,1.22269,1.22269,1.22254,1.2226,65.09
2021.06.01 04:37:00,1.22261,1.22266,1.22257,1.22264,46.67
2021.06.01 04:38:00,1.22264,1.22271,1.22264,1.22269,33.1
2021.06.01 04:39:00,1.22268,1.22271,1.22263,1.22271,36.05
2021.06.01 04:40:00,1.22272,1.22272,1.22259,1.22259,46.87
2021.06.01 04:41:00,1.22259,1.22259,1.2225,1.22252,60.97
2021.06.01 04:42:00,1.22251,1.22251,1.22238,1.22243,62.12
2021.06.01 04:43:00,1.22242,1.22245,1.22238,1.22245,24.86
2021.06.01 04:44:00,1.22244,1.22254,1.22243,1.22248,24.02
